begin,end,id,id2,sampledSeconds,traveltime,overlapDensity,waitingTime,timeLoss,speed,speedRelative,departed,arrived,entered,left,laneChangedFrom,laneChangedTo,flow
0,60,edgeData,-E0,14.32,7.16,3.98,1,4.96,8.14,0.59,0,0,2,2,0,0,116.7
0,60,edgeData,-E1,6,6,1.71,0,2.71,7.17,0.52,1,0,0,1,0,0,44.17
0,60,edgeData,-E10,4.32,4.32,1.13,0,0.38,13.26,0.95,0,0,1,1,0,0,54.15
0,60,edgeData,-E11,6.9,3.45,2.97,0,1.48,10.84,0.78,0,1,2,1,0,0,114.71
0,60,edgeData,-E12,0,,,,,,,0,0,0,0,0,0,
0,60,edgeData,-E13,0,,,,,,,0,0,0,0,0,0,
0,60,edgeData,-E14,44,44,26.37,38,42.53,0.49,0.04,1,0,0,1,0,0,46.84
0,60,edgeData,-E15,5,5,1.97,0,2.9,6.09,0.44,1,0,0,1,0,0,43.16
0,60,edgeData,-E16,0,,,,,,,0,0,0,0,0,0,
0,60,edgeData,-E17,0,,,,,,,0,0,0,0,0,0,
0,60,edgeData,-E18,0,,,,,,,0,0,0,0,0,0,
0,60,edgeData,-E19,35,35,31.91,31,34.19,0.35,0.03,1,0,0,1,0,0,39.97
0,60,edgeData,-E2,8.29,4.14,3.53,0,3.66,7.34,0.53,1,0,1,2,0,0,93.28
0,60,edgeData,-E20,0,,,,,,,0,0,0,0,0,0,
0,60,edgeData,-E21,53,26.5,54.49,45,51.66,0.38,0.03,2,0,0,2,0,0,74.05
0,60,edgeData,-E22,20,20,9.99,13,17.91,1.36,0.1,1,0,0,1,0,0,49.03
0,60,edgeData,-E23,0,,,,,,,0,0,0,0,0,0,
0,60,edgeData,-E3,37,18.5,18.17,24,33.15,1.5,0.11,2,0,0,2,0,0,98.07
0,60,edgeData,-E4,0,,,,,,,0,0,0,0,0,0,
0,60,edgeData,-E5,77.96,38.98,21.31,59,69.71,1.52,0.11,0,0,2,2,0,0,116.6
0,60,edgeData,-E6,121.14,30.28,37.1,86,105.19,1.76,0.13,1,2,3,2,0,0,229.12
0,60,edgeData,-E7,0,,,,,,,0,0,0,0,0,0,
0,60,edgeData,-E8,6,6,1.7,0,3.04,6.93,0.5,1,0,0,1,0,0,42.42
0,60,edgeData,-E9,4.7,4.7,1.91,0,0.84,9.77,0.7,0,1,1,0,0,0,60
0,60,edgeData,E0,19.72,6.57,5.48,0,7.25,8.65,0.62,1,0,2,3,0,0,170.58
0,60,edgeData,E1,50.57,16.86,14.42,27,38.92,3.26,0.23,1,0,2,3,0,0,169.38
0,60,edgeData,E10,57.07,19.02,14.99,35,43.41,3.13,0.22,2,0,1,3,0,0,168.69
0,60,edgeData,E11,53.24,13.31,22.92,36,43.54,2.52,0.18,1,0,3,4,0,0,208.21
0,60,edgeData,E12,0,,,,,,,0,0,0,0,0,0,
0,60,edgeData,E13,0,,,,,,,0,0,0,0,0,0,
0,60,edgeData,E14,2.54,2.54,1.52,0,0.19,12.05,0.87,0,1,1,0,0,0,60
0,60,edgeData,E15,0,,,,,,,0,0,0,0,0,0,
0,60,edgeData,E16,3.35,3.35,1.57,0,0.67,11.45,0.82,0,1,1,0,0,0,60
0,60,edgeData,E17,0,,,,,,,0,0,0,0,0,0,
0,60,edgeData,E18,0,,,,,,,0,0,0,0,0,0,
0,60,edgeData,E19,0,,,,,,,0,0,0,0,0,0,
0,60,edgeData,E2,3.21,3.21,1.37,0,0.57,10.73,0.77,0,0,1,1,0,0,52.85
0,60,edgeData,E20,0,,,,,,,0,0,0,0,0,0,
0,60,edgeData,E21,0,,,,,,,0,0,0,0,0,0,
0,60,edgeData,E22,0,,,,,,,0,0,0,0,0,0,
0,60,edgeData,E23,0,,,,,,,0,0,0,0,0,0,
0,60,edgeData,E3,11.5,5.75,5.65,1,7.32,5.16,0.37,1,0,1,2,0,0,104.81
0,60,edgeData,E4,29,29,17.84,22,27.18,0.72,0.05,1,0,0,1,0,0,46.49
0,60,edgeData,E5,106.22,53.11,29.03,86,96.84,1.13,0.08,0,0,2,2,0,0,117.72
0,60,edgeData,E6,41.3,41.3,12.65,35,37.62,1.29,0.09,0,0,1,1,0,0,58.9
0,60,edgeData,E7,33.01,11,18.61,18,27.03,2.5,0.18,0,0,3,3,0,0,167.22
0,60,edgeData,E8,0,,,,,,,0,0,0,0,0,0,
0,60,edgeData,E9,6,6,2.44,0,3.65,5.94,0.43,1,0,0,1,0,0,52.2
60,120,edgeData,-E0,0,,,,,,,0,0,0,0,0,0,
60,120,edgeData,-E1,381.49,54.5,108.78,280,351.79,1.04,0.08,0,1,7,6,0,0,405.42
60,120,edgeData,-E10,0,,,,,,,0,0,0,0,0,0,
60,120,edgeData,-E11,15.34,15.34,6.6,10,12.07,2.46,0.18,0,0,1,1,0,0,58.45
60,120,edgeData,-E12,0,,,,,,,0,0,0,0,0,0,
60,120,edgeData,-E13,38,38,22.74,32,36.44,0.57,0.04,1,0,0,1,0,0,46.86
60,120,edgeData,-E14,0,,,,,,,0,0,0,0,0,0,
60,120,edgeData,-E15,11,11,4.33,2,8.16,3.29,0.24,1,0,0,1,0,0,51.34
60,120,edgeData,-E16,0,,,,,,,0,0,0,0,0,0,
60,120,edgeData,-E17,20,20,9.25,14,17.58,1.5,0.11,1,0,0,1,0,0,49.84
60,120,edgeData,-E18,29,29,19.22,23,27.66,0.66,0.05,1,0,0,1,0,0,45.44
60,120,edgeData,-E19,23,23,20.97,18,22.26,0.53,0.04,1,0,0,1,0,0,39.97
60,120,edgeData,-E2,3.8,3.8,1.62,0,1.05,11.61,0.84,0,1,1,0,0,0,60
60,120,edgeData,-E20,0,,,,,,,0,0,0,0,0,0,
60,120,edgeData,-E21,0,,,,,,,0,0,0,0,0,0,
60,120,edgeData,-E22,20,20,9.99,13,18.22,1.36,0.1,1,0,0,1,0,0,49.03
60,120,edgeData,-E23,0,,,,,,,0,0,0,0,0,0,
60,120,edgeData,-E3,15.51,3.88,7.62,0,5.01,8.52,0.61,0,1,4,3,0,0,224.79
60,120,edgeData,-E4,22.34,3.19,13.74,0,11.56,6.82,0.49,1,0,6,7,0,0,337.34
60,120,edgeData,-E5,16.58,5.53,4.53,0,2.6,10.82,0.78,0,0,3,3,0,0,176.48
60,120,edgeData,-E6,35.23,17.61,10.79,20,28.18,2.64,0.19,0,0,2,2,0,0,102.53
60,120,edgeData,-E7,15.21,3.04,8.58,0,4.59,9.17,0.66,0,1,5,4,0,0,273.11
60,120,edgeData,-E8,13.7,6.85,3.88,0,5.31,8.35,0.6,1,1,1,1,0,0,111.67
60,120,edgeData,-E9,12.21,4.07,4.97,0,2.09,10.66,0.77,0,2,3,1,0,0,179
60,120,edgeData,E0,143.31,35.83,39.82,103,127.88,1.63,0.12,0,1,4,3,0,0,232.04
60,120,edgeData,E1,146.75,36.69,41.85,107,130.62,1.52,0.11,1,1,3,3,0,0,226.06
60,120,edgeData,E10,55.91,27.96,14.69,35,46.03,2.3,0.17,0,1,2,1,0,0,117.93
60,120,edgeData,E11,42.43,10.61,18.26,20,31.41,3.4,0.24,1,1,3,3,0,0,223.11
60,120,edgeData,E12,0,,,,,,,0,0,0,0,0,0,
60,120,edgeData,E13,0,,,,,,,0,0,0,0,0,0,
60,120,edgeData,E14,0,,,,,,,0,0,0,0,0,0,
60,120,edgeData,E15,0,,,,,,,0,0,0,0,0,0,
60,120,edgeData,E16,0,,,,,,,0,0,0,0,0,0,
60,120,edgeData,E17,0,,,,,,,0,0,0,0,0,0,
60,120,edgeData,E18,0,,,,,,,0,0,0,0,0,0,
60,120,edgeData,E19,0,,,,,,,0,0,0,0,0,0,
60,120,edgeData,E2,24.29,12.14,10.35,14,17.97,3.17,0.23,0,0,2,2,0,0,118.19
60,120,edgeData,E20,0,,,,,,,0,0,0,0,0,0,
60,120,edgeData,E21,0,,,,,,,0,0,0,0,0,0,
60,120,edgeData,E22,0,,,,,,,0,0,0,0,0,0,
60,120,edgeData,E23,0,,,,,,,0,0,0,0,0,0,
60,120,edgeData,E3,68,22.67,33.39,46,62.36,1.13,0.08,3,0,0,3,0,0,135.97
60,120,edgeData,E4,6.95,3.48,4.27,0,2.81,7.56,0.54,1,1,1,1,0,0,105.3
60,120,edgeData,E5,68.05,22.68,18.6,30,54.14,2.46,0.18,2,0,1,3,0,0,164.44
60,120,edgeData,E6,57.8,14.45,17.7,14,42.56,3.36,0.24,2,0,2,4,0,0,214.16
60,120,edgeData,E7,4,4,2.26,0,2.45,5.48,0.39,1,0,0,1,0,0,44.49
60,120,edgeData,E8,0,,,,,,,0,0,0,0,0,0,
60,120,edgeData,E9,6,6,2.44,0,3.77,5.85,0.42,1,0,0,1,0,0,51.4
120,180,edgeData,-E0,67.16,16.79,18.66,40,50.99,3.24,0.23,2,0,2,4,0,0,217.76
120,180,edgeData,-E1,23.02,23.02,6.57,9,19.05,2.47,0.18,0,0,1,1,0,0,58.35
120,180,edgeData,-E10,42.82,21.41,11.25,30,33.07,2.97,0.21,0,1,2,1,0,0,119.05
120,180,edgeData,-E11,18.72,4.68,8.06,0,8.45,8.09,0.58,1,3,3,1,0,0,224.24
120,180,edgeData,-E12,0,,,,,,,0,0,0,0,0,0,
120,180,edgeData,-E13,0,,,,,,,0,0,0,0,0,0,
120,180,edgeData,-E14,7,3.5,4.2,0,4.92,4.68,0.34,2,0,0,2,0,0,70.74
120,180,edgeData,-E15,0,,,,,,,0,0,0,0,0,0,
120,180,edgeData,-E16,26,13,12.18,14,22.12,2.24,0.16,2,0,0,2,0,0,98.44
120,180,edgeData,-E17,0,,,,,,,0,0,0,0,0,0,
120,180,edgeData,-E18,0,,,,,,,0,0,0,0,0,0,
120,180,edgeData,-E19,0,,,,,,,0,0,0,0,0,0,
120,180,edgeData,-E2,41.43,41.43,17.65,35,38.7,0.92,0.07,0,0,1,1,0,0,58.46
120,180,edgeData,-E20,0,,,,,,,0,0,0,0,0,0,
120,180,edgeData,-E21,0,,,,,,,0,0,0,0,0,0,
120,180,edgeData,-E22,0,,,,,,,0,0,0,0,0,0,
120,180,edgeData,-E23,0,,,,,,,0,0,0,0,0,0,
120,180,edgeData,-E3,45.36,22.68,22.27,36,40.79,1.43,0.1,0,0,2,2,0,0,114.72
120,180,edgeData,-E4,59.19,29.59,36.4,45,55.77,0.81,0.06,1,0,1,2,0,0,105.92
120,180,edgeData,-E5,89.6,29.87,24.49,59,76.63,1.97,0.14,0,0,3,3,0,0,173.37
120,180,edgeData,-E6,45.57,22.79,13.96,26,38.3,2.36,0.17,1,1,1,1,0,0,113.27
120,180,edgeData,-E7,92,46,51.87,76,88.27,0.49,0.04,2,0,0,2,0,0,92.34
120,180,edgeData,-E8,53,53,15.02,44,49.52,0.99,0.07,1,0,0,1,0,0,53.78
120,180,edgeData,-E9,41,41,16.68,32,38.48,0.85,0.06,1,0,0,1,0,0,51.06
120,180,edgeData,E0,35.2,17.6,9.78,13,27.91,3.21,0.23,0,0,2,2,0,0,113.18
120,180,edgeData,E1,18.95,6.32,5.4,0,7.76,8.6,0.62,1,0,2,3,0,0,167.22
120,180,edgeData,E10,107.33,21.47,28.2,51,84.96,2.86,0.21,0,1,5,4,0,0,290.47
120,180,edgeData,E11,38.04,19.02,16.37,25,33.45,1.9,0.14,0,0,2,2,0,0,111.78
120,180,edgeData,E12,0,,,,,,,0,0,0,0,0,0,
120,180,edgeData,E13,5.97,2.99,3.57,0,0.62,11,0.79,0,2,2,0,0,0,120
120,180,edgeData,E14,0,,,,,,,0,0,0,0,0,0,
120,180,edgeData,E15,0,,,,,,,0,0,0,0,0,0,
120,180,edgeData,E16,0,,,,,,,0,0,0,0,0,0,
120,180,edgeData,E17,3.34,3.34,1.54,0,0.82,12.29,0.88,0,1,1,0,0,0,60
120,180,edgeData,E18,0,,,,,,,0,0,0,0,0,0,
120,180,edgeData,E19,0,,,,,,,0,0,0,0,0,0,
120,180,edgeData,E2,79.74,8.86,33.97,39,56.91,3.87,0.28,2,1,7,8,0,0,469.01
120,180,edgeData,E20,0,,,,,,,0,0,0,0,0,0,
120,180,edgeData,E21,2.19,2.19,2.26,0,0.65,8.81,0.63,0,1,1,0,0,0,60
120,180,edgeData,E22,0,,,,,,,0,0,0,0,0,0,
120,180,edgeData,E23,0,,,,,,,0,0,0,0,0,0,
120,180,edgeData,E3,32.94,8.24,16.18,8,24.42,3.7,0.27,2,1,2,3,0,0,206.7
120,180,edgeData,E4,8.64,2.88,5.32,0,2.45,9.42,0.68,0,1,3,2,0,0,169.23
120,180,edgeData,E5,28.25,28.25,7.72,21,24.11,2.12,0.15,0,0,1,1,0,0,59.01
120,180,edgeData,E6,62.67,31.33,19.19,48,54.91,1.77,0.13,0,1,2,1,0,0,118.9
120,180,edgeData,E7,51.78,17.26,29.2,41,46.21,1.55,0.11,0,0,3,3,0,0,162.75
120,180,edgeData,E8,12.18,6.09,3.45,0,4.58,8.78,0.63,1,0,1,2,0,0,109.08
120,180,edgeData,E9,127.39,42.46,51.83,94,118.41,0.94,0.07,1,1,2,2,0,0,168.21
180,240,edgeData,-E0,54.66,18.22,15.19,33,42.23,3.34,0.24,0,1,3,2,0,0,178.08
180,240,edgeData,-E1,258.57,36.94,73.73,172,229.25,1.54,0.11,0,1,7,6,0,0,402.58
180,240,edgeData,-E10,4.89,4.89,1.29,0,0.53,12.58,0.91,0,0,1,1,0,0,58.24
180,240,edgeData,-E11,12.38,12.38,5.33,7,9.87,3.05,0.22,0,0,1,1,0,0,58.45
180,240,edgeData,-E12,0,,,,,,,0,0,0,0,0,0,
180,240,edgeData,-E13,55,27.5,32.91,39,52.1,0.77,0.06,2,0,0,2,0,0,90.69
180,240,edgeData,-E14,0,,,,,,,0,0,0,0,0,0,
180,240,edgeData,-E15,12,6,4.73,0,6.81,6.17,0.44,2,0,0,2,0,0,105.03
180,240,edgeData,-E16,0,,,,,,,0,0,0,0,0,0,
180,240,edgeData,-E17,4,4,1.85,0,2.39,5.23,0.38,1,0,0,1,0,0,34.85
180,240,edgeData,-E18,4,4,2.65,0,2.67,4.77,0.34,1,0,0,1,0,0,45.52
180,240,edgeData,-E19,0,,,,,,,0,0,0,0,0,0,
180,240,edgeData,-E2,104.87,26.22,44.68,82,95.22,1.33,0.1,1,0,3,4,0,0,213.14
180,240,edgeData,-E20,0,,,,,,,0,0,0,0,0,0,
180,240,edgeData,-E21,53,53,54.49,47,52.25,0.21,0.01,1,0,0,1,0,0,40.74
180,240,edgeData,-E22,35,35,17.49,26,33.01,0.78,0.06,1,0,0,1,0,0,49.03
180,240,edgeData,-E23,29,29,12.1,22,26.24,1.17,0.08,1,0,0,1,0,0,50.84
180,240,edgeData,-E3,53.49,26.74,26.27,43,48.68,1.22,0.09,0,0,2,2,0,0,115.51
180,240,edgeData,-E4,91.6,22.9,56.33,70,85.1,0.96,0.07,2,0,2,4,0,0,194.09
180,240,edgeData,-E5,5.36,5.36,1.47,0,1.34,10.59,0.76,0,0,1,1,0,0,55.9
180,240,edgeData,-E6,172.27,34.45,52.76,126,151.76,1.57,0.11,0,1,5,4,0,0,293.44
180,240,edgeData,-E7,133.8,33.45,75.44,101,127.11,0.72,0.05,2,0,2,4,0,0,195.13
180,240,edgeData,-E8,47.16,23.58,13.36,34,38.34,2.43,0.18,0,0,2,2,0,0,116.96
180,240,edgeData,-E9,83.6,27.87,34.02,63,75.37,1.43,0.1,0,1,3,2,0,0,173.49
180,240,edgeData,E0,298.19,49.7,82.86,194,272.42,1.17,0.08,0,1,6,5,0,0,347.34
180,240,edgeData,E1,83.91,27.97,23.93,51,71.56,2.05,0.15,1,1,2,2,0,0,171.84
180,240,edgeData,E10,46.95,23.47,12.34,33,38.11,2.57,0.19,0,0,2,2,0,0,114.16
180,240,edgeData,E11,73.26,14.65,31.54,51,60.08,2.44,0.18,0,1,5,4,0,0,268.84
180,240,edgeData,E12,0,,,,,,,0,0,0,0,0,0,
180,240,edgeData,E13,2.79,2.79,1.67,0,0.91,10.22,0.74,0,1,1,0,0,0,60
180,240,edgeData,E14,3.04,3.04,1.82,0,0.88,10.71,0.77,0,1,1,0,0,0,60
180,240,edgeData,E15,3.69,3.69,1.45,0,0.32,12.82,0.92,0,1,1,0,0,0,60
180,240,edgeData,E16,3.52,3.52,1.65,0,0.83,11.54,0.83,0,1,1,0,0,0,60
180,240,edgeData,E17,0,,,,,,,0,0,0,0,0,0,
180,240,edgeData,E18,2.87,2.87,1.9,0,0.71,10.49,0.76,0,1,1,0,0,0,60
180,240,edgeData,E19,2.05,2.05,1.87,0,0.68,9.32,0.67,0,1,1,0,0,0,60
180,240,edgeData,E2,43.28,14.43,18.44,19,35.12,2.57,0.19,1,1,2,2,0,0,164.2
180,240,edgeData,E20,2.61,2.61,2.02,0,1.05,8.69,0.63,0,1,1,0,0,0,60
180,240,edgeData,E21,1.44,1.44,1.48,0,0.04,13.74,0.99,0,1,1,0,0,0,60
180,240,edgeData,E22,0,,,,,,,0,0,0,0,0,0,
180,240,edgeData,E23,4.2,4.2,1.75,0,0.82,10.7,0.77,0,1,1,0,0,0,60
180,240,edgeData,E3,41.38,41.38,20.32,37,39.02,0.8,0.06,0,0,1,1,0,0,58.23
180,240,edgeData,E4,0,,,,,,,0,0,0,0,0,0,
180,240,edgeData,E5,48.22,16.07,13.18,27,37.48,3.23,0.23,2,0,1,3,0,0,153.22
180,240,edgeData,E6,8.64,4.32,2.65,0,1.7,11.86,0.85,0,0,2,2,0,0,112.94
180,240,edgeData,E7,123.11,24.62,69.41,95,113.84,1.01,0.07,2,1,3,4,0,0,252.72
180,240,edgeData,E8,16.81,5.6,4.76,0,4.18,10.2,0.73,0,1,3,2,0,0,172.71
180,240,edgeData,E9,0,,,,,,,0,0,0,0,0,0,
240,300,edgeData,-E0,154.8,30.96,43.01,110,133.48,1.87,0.13,0,1,5,4,0,0,288.28
240,300,edgeData,-E1,275.93,45.99,78.68,190,252.23,1.21,0.09,1,1,5,5,0,0,340.53
