step,avg_waiting_tine,max_waiting_time,throughput,conflict_count
0,0.0,0.0,1,0
1,0.0,0.0,1,0
2,0.0,0.0,2,0
3,0.0,0.0,2,0
4,0.0,0.0,3,0
5,0.0,0.0,3,0
6,0.0,0.0,4,0
7,0.0,0.0,4,0
8,0.0,0.0,5,0
9,0.0,0.0,5,0
10,0.0,0.0,6,0
11,0.0,0.0,6,0
12,0.0,0.0,7,0
13,0.0,0.0,7,0
14,0.0,0.0,8,0
15,0.0,0.0,8,0
16,0.0,0.0,9,1
17,0.0,0.0,9,2
18,0.0,0.0,10,3
19,0.0,0.0,10,4
20,0.0,0.0,11,5
21,0.0,0.0,11,6
22,0.0,0.0,12,7
23,0.0,0.0,12,8
24,0.0,0.0,13,8
25,0.0,0.0,13,8
26,0.0,0.0,14,8
27,0.0,0.0,14,8
28,0.0,0.0,15,9
29,0.0,0.0,15,10
30,0.0,0.0,16,12
31,0.0,0.0,16,13
32,0.0,0.0,17,14
33,0.0,0.0,17,14
34,0.0,0.0,18,14
35,0.0,0.0,18,14
36,0.0,0.0,19,14
37,0.0,0.0,19,15
38,0.0,0.0,20,16
39,0.0,0.0,20,17
40,0.0,0.0,21,17
41,0.0,0.0,21,17
42,0.0,0.0,22,17
43,0.0,0.0,22,17
44,0.0,0.0,23,17
45,0.0,0.0,23,17
46,0.0,0.0,23,17
47,0.0,0.0,23,17
48,0.0,0.0,24,17
49,0.0,0.0,24,17
50,0.0,0.0,25,17
51,0.0,0.0,25,18
52,0.0,0.0,26,19
53,0.0,0.0,26,19
54,0.0,0.0,28,20
55,0.0,0.0,28,22
56,0.0,0.0,29,24
57,0.0,0.0,29,27
58,0.0,0.0,30,30
59,0.0,0.0,30,32
60,0.0,0.0,31,33
61,0.0,0.0,31,34
62,0.0,0.0,32,35
63,0.0,0.0,32,36
64,0.0,0.0,33,37
65,0.0,0.0,33,38
66,0.0,0.0,34,40
67,0.08333333333333333,1.0,34,43
68,0.15384615384615385,2.0,35,46
69,0.0,0.0,35,50
70,0.0,0.0,35,54
71,0.0,0.0,36,56
72,0.0,0.0,37,58
73,0.0,0.0,37,58
74,0.0,0.0,38,58
75,0.0,0.0,38,58
76,0.0,0.0,39,58
77,0.0,0.0,39,59
78,0.0,0.0,40,61
79,0.0,0.0,40,64
80,0.0,0.0,40,66
81,0.0,0.0,40,68
82,0.0,0.0,41,70
83,0.06666666666666667,1.0,41,72
84,0.0,0.0,42,76
85,0.0,0.0,42,80
86,0.0,0.0,42,84
87,0.0,0.0,43,88
88,0.0,0.0,44,92
89,0.0,0.0,45,95
90,0.0,0.0,46,98
91,0.058823529411764705,1.0,46,100
92,0.0,0.0,47,102
93,0.0,0.0,47,104
94,0.0,0.0,48,107
95,0.0,0.0,48,110
96,0.0,0.0,49,113
97,0.0,0.0,49,117
98,0.0,0.0,50,123
99,0.0,0.0,50,128
100,0.0,0.0,51,131
101,0.0,0.0,51,134
102,0.0,0.0,52,136
103,0.0,0.0,52,138
104,0.0,0.0,52,139
105,0.0,0.0,53,140
106,0.0,0.0,54,142
107,0.0,0.0,54,145
108,0.0,0.0,55,149
109,0.0,0.0,55,152
110,0.0,0.0,56,155
111,0.0,0.0,56,158
112,0.0,0.0,57,159
113,0.0,0.0,57,160
114,0.0,0.0,58,161
115,0.0,0.0,58,163
116,0.0,0.0,58,166
117,0.0,0.0,59,170
118,0.0,0.0,60,175
119,0.0,0.0,60,181
120,0.0,0.0,61,186
121,0.0,0.0,61,190
122,0.0,0.0,62,193
123,0.0,0.0,62,196
124,0.0,0.0,63,199
125,0.0,0.0,63,201
126,0.0,0.0,63,203
127,0.0,0.0,63,205
128,0.0,0.0,64,208
129,0.0,0.0,64,211
130,0.0,0.0,65,214
131,0.0,0.0,65,216
132,0.0,0.0,67,219
133,0.0,0.0,67,222
134,0.0,0.0,67,227
135,0.0,0.0,67,230
136,0.0,0.0,69,233
137,0.0,0.0,69,236
138,0.0,0.0,70,238
139,0.0,0.0,70,240
140,0.0,0.0,70,242
141,0.0,0.0,70,243
142,0.0,0.0,70,244
143,0.0,0.0,70,245
144,0.0,0.0,71,247
145,0.07142857142857142,1.0,72,249
146,0.13333333333333333,2.0,73,251
147,0.21428571428571427,3.0,73,254
148,0.0,0.0,74,255
149,0.0,0.0,75,256
150,0.0,0.0,76,256
151,0.0,0.0,76,257
152,0.0,0.0,76,258
153,0.0,0.0,77,260
154,0.0,0.0,78,262
155,0.0,0.0,78,264
156,0.0,0.0,79,266
157,0.0,0.0,79,267
158,0.0,0.0,79,268
159,0.06666666666666667,1.0,79,269
160,0.0,0.0,80,270
161,0.0,0.0,81,273
162,0.0,0.0,81,277
163,0.0,0.0,81,280
164,0.0,0.0,82,283
165,0.0,0.0,83,287
166,0.0,0.0,84,291
167,0.0,0.0,84,295
168,0.0,0.0,85,298
169,0.0,0.0,85,299
170,0.0,0.0,86,301
171,0.0,0.0,86,303
172,0.0,0.0,86,306
173,0.0,0.0,86,311
174,0.0,0.0,87,317
175,0.0,0.0,88,323
176,0.0,0.0,89,327
177,0.0,0.0,89,331
178,0.0,0.0,89,334
179,0.0,0.0,90,337
180,0.0,0.0,90,341
181,0.0,0.0,90,344
182,0.0,0.0,92,347
183,0.0,0.0,92,349
184,0.0,0.0,93,351
185,0.0,0.0,93,355
186,0.0,0.0,93,360
187,0.0,0.0,93,365
188,0.0,0.0,94,370
189,0.0,0.0,94,374
190,0.045454545454545456,1.0,96,379
191,0.09523809523809523,2.0,96,382
192,0.14285714285714285,3.0,96,385
193,0.23809523809523808,4.0,96,388
194,0.09523809523809523,2.0,96,393
195,0.0,0.0,97,397
196,0.0,0.0,98,400
197,0.0,0.0,99,403
198,0.0,0.0,100,407
199,0.0,0.0,100,411
200,0.0,0.0,100,413
201,0.0,0.0,100,415
202,0.0,0.0,100,418
203,0.0,0.0,100,421
204,0.0,0.0,100,425
205,0.0,0.0,100,429
206,0.0,0.0,100,433
207,0.0,0.0,100,437
208,0.0,0.0,100,441
209,0.0,0.0,100,444
210,0.0,0.0,100,447
211,0.0,0.0,100,451
212,0.0,0.0,100,455
213,0.07692307692307693,1.0,100,459
214,0.15384615384615385,2.0,100,464
215,0.23076923076923078,3.0,100,469
216,0.0,0.0,100,474
217,0.0,0.0,100,479
218,0.0,0.0,100,484
219,0.0,0.0,100,487
220,0.0,0.0,100,490
221,0.0,0.0,100,493
222,0.0,0.0,100,495
223,0.0,0.0,100,497
224,0.0,0.0,100,500
225,0.0,0.0,100,503
226,0.0,0.0,100,506
227,0.0,0.0,100,509
228,0.0,0.0,100,512
229,0.0,0.0,100,515
230,0.0,0.0,100,517
231,0.0,0.0,100,518
232,0.0,0.0,100,520
233,0.0,0.0,100,522
234,0.0,0.0,100,523
235,0.0,0.0,100,524
236,0.0,0.0,100,525
237,0.0,0.0,100,525
238,0.0,0.0,100,525
239,0.0,0.0,100,525
240,0.0,0.0,100,525
241,0.0,0.0,100,525
242,0.0,0.0,100,525
243,0.0,0.0,100,525
244,0.0,0.0,100,525
245,0.0,0.0,100,525
246,0.0,0.0,100,525
247,0.0,0.0,100,525
248,0.0,0.0,100,525
249,0.0,0.0,100,525
250,0.0,0.0,100,525
251,0.0,0.0,100,525
252,0.0,0.0,100,525
253,0.0,0.0,100,525
254,0,0,100,525
